Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
ORLY,4.05,4.055,2019-04-24 16:30:00,2019-04-24,2019-03-12,2019-06-06
PKG,1.98,1.9569999999999999,2019-04-24 17:29:00,2019-04-24,2019-03-12,2019-06-06
ALLE,0.88,0.866,2019-04-25 05:30:00,2019-04-25,2019-03-13,2019-06-07
IRM,0.48,0.512,2019-04-25 06:00:00,2019-04-25,2019-03-13,2019-06-07
LKQ,0.56,0.561,2019-04-25 06:00:00,2019-04-25,2019-03-13,2019-06-07
XEL,0.61,0.615,2019-04-25 06:00:00,2019-04-25,2019-03-13,2019-06-07
MMM,2.23,2.485,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
ALXN,2.39,2.211,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
BWA,1.0,0.9440000000000001,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
VLO,0.34,0.23199999999999998,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
XRX,0.91,0.8,2019-04-25 06:30:00,2019-04-25,2019-03-13,2019-06-07
LUV,0.7,0.608,2019-04-25 06:31:00,2019-04-25,2019-03-13,2019-06-07
IVZ,0.56,0.527,2019-04-25 06:55:00,2019-04-25,2019-03-13,2019-06-07
NEM,0.33,0.273,2019-04-25 06:55:00,2019-04-25,2019-03-13,2019-06-07
RTN,2.77,2.472,2019-04-25 06:55:00,2019-04-25,2019-03-13,2019-06-07
ROP,3.3,2.779,2019-04-25 06:55:00,2019-04-25,2019-03-13,2019-06-07
AEP,1.19,1.111,2019-04-25 06:57:00,2019-04-25,2019-03-13,2019-06-07
BMY,1.1,1.089,2019-04-25 06:59:00,2019-04-25,2019-03-13,2019-06-07
MO,0.9,0.9209999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
CMS,0.75,0.772,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
CMCSA,0.76,0.6809999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
HSY,1.59,1.4669999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
IP,1.11,0.9059999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
MMC,1.52,1.452,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
MAS,0.44,0.473,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
UPS,1.39,1.415,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
WM,0.94,0.9179999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
WEC,1.33,1.255,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
BAX,0.76,0.6809999999999999,2019-04-25 07:15:00,2019-04-25,2019-03-13,2019-06-07
ADS,3.72,4.05,2019-04-25 07:30:00,2019-04-25,2019-03-13,2019-06-07
HES,0.09,-0.266,2019-04-25 07:30:00,2019-04-25,2019-03-13,2019-06-07
WAB,1.06,0.843,2019-04-25 07:30:00,2019-04-25,2019-03-13,2019-06-07
ABBV,2.14,2.059,2019-04-25 07:42:00,2019-04-25,2019-03-13,2019-06-07
HBAN,0.32,0.316,2019-04-25 07:46:00,2019-04-25,2019-03-13,2019-06-07
FCX,0.05,0.073,2019-04-25 08:00:00,2019-04-25,2019-03-13,2019-06-07
ITW,1.81,1.805,2019-04-25 08:00:00,2019-04-25,2019-03-13,2019-06-07
TSCO,0.63,0.5539999999999999,2019-04-25 08:00:00,2019-04-25,2019-03-13,2019-06-07
