Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
EMN,1.77,1.867,2019-04-25 16:39:00,2019-04-25,2019-03-13,2019-06-07
EMR,0.76,0.659,2019-02-05 06:54:00,2019-02-05,2018-12-20,2019-03-20
EOG,1.19,1.024,2019-05-02 16:41:00,2019-05-02,2019-03-20,2019-06-14
EQIX,3.97,4.248,2019-05-01 16:05:00,2019-05-01,2019-03-19,2019-06-13
EQR,0.82,0.812,2019-04-30 16:30:00,2019-04-30,2019-03-18,2019-06-12
ES,0.97,0.914,2019-05-01 16:15:00,2019-05-01,2019-03-19,2019-06-13
ESS,3.23,3.196,2019-04-24 16:15:00,2019-04-24,2019-03-12,2019-06-06
ETFC,1.09,0.929,2019-04-17 16:05:00,2019-04-17,2019-03-06,2019-05-31
ETN,1.26,1.244,2019-04-30 06:34:00,2019-04-30,2019-03-18,2019-06-12
ETR,0.82,0.863,2019-05-01 06:30:00,2019-05-01,2019-03-19,2019-06-13
EVRG,0.44,0.406,2019-05-08 16:50:00,2019-05-08,2019-03-26,2019-06-20
EW,1.32,1.224,2019-04-23 16:15:00,2019-04-23,2019-03-11,2019-06-05
EXC,0.87,0.872,2019-05-02 06:45:00,2019-05-02,2019-03-20,2019-06-14
EXPD,0.8,0.8320000000000001,2019-05-07 08:30:00,2019-05-07,2019-03-25,2019-06-19
EXPE,-0.27,-0.369,2019-05-02 16:11:00,2019-05-02,2019-03-20,2019-06-14
EXR,1.16,1.136,2019-04-30 16:05:00,2019-04-30,2019-03-18,2019-06-12
F,0.44,0.256,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
FANG,1.39,1.3619999999999999,2019-05-07 16:01:00,2019-05-07,2019-03-25,2019-06-19
FAST,0.34,0.33899999999999997,2019-04-11 06:50:00,2019-04-11,2019-02-28,2019-05-24
FB,1.89,1.619,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
FBHS,0.63,0.583,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
FCX,0.05,0.073,2019-04-25 08:00:00,2019-04-25,2019-03-13,2019-06-07
FDX,3.03,3.117,2019-03-19 16:03:00,2019-03-19,2019-02-04,2019-05-01
FE,0.67,0.67,2019-04-23 16:20:00,2019-04-23,2019-03-11,2019-06-05
FFIV,2.7,2.535,2019-01-23 16:05:00,2019-01-23,2018-12-07,2019-03-07
FIS,1.64,1.4469999999999998,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
FISV,0.84,0.8220000000000001,2019-04-30 16:01:00,2019-04-30,2019-03-18,2019-06-12
FITB,0.63,0.5870000000000001,2019-04-23 06:30:00,2019-04-23,2019-03-11,2019-06-05
FLIR,0.53,0.483,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
FLS,0.41,0.341,2019-05-02 16:10:00,2019-05-02,2019-03-20,2019-06-14
FLT,2.67,2.641,2019-05-07 16:05:00,2019-05-07,2019-03-25,2019-06-19
FMC,1.72,1.6230000000000002,2019-05-06 16:30:00,2019-05-06,2019-03-22,2019-06-18
FOXA,0.01,0.669,2019-03-18 07:00:00,2019-03-18,2019-02-01,2019-04-30
FRC,1.26,1.226,2019-04-12 08:00:00,2019-04-12,2019-03-01,2019-05-28
FRT,1.56,1.558,2019-05-02 16:05:00,2019-05-02,2019-03-20,2019-06-14
